University,Brand,Store_type,Store_location,Product_category,Price,Brand-price,Link,Note,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Columbia University,,University Bookstore," 2922 Broadway, New York, NY 10027",Pennant 6x15,14.98,,https://columbia.spirit.bncollege.com/columbia-university-columbia-university-82331-pennant-6x15/t-45043753+p-898845691890781+z-9-654764104?_ref=p-SRP:m-GRID:i-r0c0:po-0,,,,,,
Princeton University,,University Bookstore,,Pennant 6x15,12.0,,https://www.pustore.com/Princeton-2-Color-Striped-P-Pennant,,,,,,
Massachusetts Institute of Technology(MIT),,University Bookstore,,Pennant 6x15,12.98,,https://www.thecoop.com/Harvard-5x15-Felt-Pennant,,,,,,
Harvard University ,,University Bookstore,,Pennant 6x15,12.98,,https://www.thecoop.com/Harvard-5x15-Felt-Pennant,,,,,,
Stanford University,,University Bookstore,,Pennant 6x15,26.99,,https://shop.stanford.edu/stanford-cardinal-24-wood-pennant/p-37322448203887+z-9577-2742892572?_ref=p-SRP:m-GRID:i-r0c0:po-0,,,,,,
Yale University,,University Bookstore,,Pennant 6x15,14.98,,https://yale.shoptruespirit.com/yale-bulldogs-yale-bulldogs-6x15-pennant/t-24828721+p-459912030481144+z-9-894518012?_ref=p-SRP:m-GRID:i-r0c0:po-0,,,,,,
California Institute of Technology,,University Bookstore,,Pennant 6x15,14.95,,https://caltechstore.caltech.edu/Beaver-Pennant-Sign,,,,,,
Duke University,,University Bookstore,,Pennant 6x15,11.95,,https://shop.duke.edu/Duke-Pennant,,,,,,
Johns Hopkins University,,University Bookstore,,Pennant 6x15,14.98,,https://johns-hopkins.spirit.bncollege.com/johns-hopkins-blue-jays-johns-hopkins-blue-jay-82331-pennant-6x15/t-23183486+p-907789332978180+z-9-3299620202?_ref=p-SRP:m-GRID:i-r1c1:po-4,,,,,,
Northwestern University,,University Bookstore,,Pennant 6x15,14.98,,https://northwestern.spirit.bncollege.com/northwestern-wildcats-winning-streak-64800-pennant-9-x-24-1-color/t-34657516+p-907799849702131+z-9-4072530500?_ref=p-SRP:m-GRID:i-r0c0:po-0,,,,,,
University of Pennsylvania,,University Bookstore,,Pennant 6x15,12.98,,https://upenn.spirit.bncollege.com/pennsylvania-quakers-penn-6-x-15-pennant/t-35222690+p-898855968392447+z-9-832790980?_ref=p-SRP:m-GRID:i-r0c2:po-2,,,,,,
Cornell University,,University Bookstore,,Pennant 6x15,12.99,,https://www.cornellstore.com/Pennant-Cornell-Seal-6-x-15,,,,,,
University of Chicago,,University Bookstore,,Pennant 6x15,8.95,,https://www.bkstr.com/uchicagostore/product/pennant-5x15-clr-m-maroo-------903003-1,,,,,,
Brown University,,University Bookstore,,Pennant 6x15,7.95,,https://insite.browntextbook.com/MerchDetail?MerchID=1642066&CategoryName=&CatID=-1&Name=,,,,,,
Dartmouth College,,University Bookstore,,Pennant 6x15,13.99,,https://www.dartmouthcoop.com/dartmouth-pennant-medium/,,,,,,
University of California--Los Angeles,,University Bookstore,,Pennant 6x15,13.0,,https://www.uclastore.com/search?keywords=Pennant%206x15,,,,,,
"University of California, Berkeley",,University Bookstore,,Pennant 6x15,8.99,,https://calstudentstore.berkeley.edu/products/felt-pennant-5in.-x-12in.-seal-%252F-uc-berkeley-logo,,,,,,
Rice University,,University Bookstore,,Pennant 6x15,8.95,,https://www.bkstr.com/riceuniversitystore/product/pennant-5x15-clr-w-white-------529096-1,,,,,,
University of Notre Dame,,University Bookstore,,Pennant 6x15,24.98,,https://nd.spirit.bncollege.com/notre-dame-fighting-irish-nd-6x15-pennant-one-color-fighting-irish/t-23099822+p-341189822259826+z-9-3969042016?_ref=p-SRP:m-GRID:i-r5c0:po-15,,,,,,
